product_id,product_title,retail_price,Disc__perc,disc_price,rating,summary,review,location,date,upvotes,downvotes
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Nice product,Camera nicely see 😁🤗🤠,Kalpi,4 months ago,1198,398
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific,Perfect condition,Gwalior,3 months ago,223,64
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Simply awesome,Justify with the price Good mobile for basic usage display and back is average,Khandwa,4 months ago,1232,418
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Classy product,"For this price, the phone is good, not for gaming. But you use simple game",Patna,4 months ago,429,135
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Waste of money!,Processor is slow,Deoria,4 months ago,171,48
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Mind-blowing purchase,Super awesome 💯 just love ❤️ it thank you so much to the Flipkart,Dimapur,2 months ago,170,48
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Best in the market!,Picture quality is very good 👍,Rengali,3 months ago,214,63
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Worth every penny,At this price range this smartphone is best..Camera also good even this smartphone having 8mp primary camera...Overall build quality also good looks rough and tough.Display size also better and HD videos can also watchable..Comes with android 13 is better option to buy.Finally my overall feedback is 4.9/5  at this price range.,Ramanagara District,2 months ago,111,29
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Brilliant,"Good but Back buttons are left , you can't change in right side",Kantanagar,2 months ago,114,30
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Great product,Good,Murshidabad District,4 months ago,177,52
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Highly recommended,Nice product nice Phone 📱,Karera,3 months ago,165,48
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Best in the market!,Very Good phone 📱,Banmankhi Bazar,2 months ago,137,39
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Just wow!,Nice 👍,Chengalpattu District,4 months ago,63,15
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific,Good mobail,Raigarh District,2 months ago,37,7
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Delightful,Veri good mobile,Godda,3 months ago,56,13
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Pretty good,Nice Phone,Patna District,2 months ago,115,35
