location,sentiment,overall_sentiment_score
Abdu Rahiman Nagar,Neutral,0.0
Abdul Lat,Positive,0.4754
Abohar,Positive,0.3182
Achabal,Negative,-0.4019
Achampet,Positive,0.5859
Achanta,Positive,0.44040000000000007
Adilabad,Positive,0.7783
Adilabad District,Positive,0.9178000000000001
Adoni,Negative,0.021875000000000033
Adra,Neutral,0.2202
Afzalgarh,Neutral,0.2524
Agartala,Negative,0.03015648148148146
Agra,Negative,0.024484523809523817
Agra District,Negative,-0.07224999999999998
Agra Division,Neutral,0.2202
Ahmadabad,Positive,0.4927
Ahmadabad District,Positive,0.445425
Ahmadnagar,Negative,0.0677625
Ahmadnagar District,Positive,0.5179666666666667
Ahmadpur,Positive,0.79498
Ahmedabad,Negative,-0.004888641975308657
Ahmedgarh,Positive,0.4215
Aiho,Positive,0.4215
Aimanam,Positive,0.4215
Ajmer,Positive,0.57775
Ajmer District,Positive,0.4215
Akaya,Positive,0.44040000000000007
Akbarpur,Positive,0.46132
Akhnoor,Negative,-0.3036
Akluj,Neutral,0.22020000000000003
Akola,Positive,0.5021625000000001
Akola District,Positive,0.4215
Akot,Positive,0.4215
Aland,Positive,0.44040000000000007
Alangudi,Positive,0.5994
Alappuzha,Positive,0.68028
Alappuzha District,Positive,0.6168111111111112
Alathur,Positive,0.35875
Aliganj,Positive,0.348125
Aligarh,Negative,0.03152857142857146
Aligarh District,Positive,0.5222
Alipurduar,Negative,-0.06430714285714287
Alipurduar District,Positive,0.5879333333333333
Alipurduar Rly Jnc,Positive,0.742
Allahabad,Negative,-0.03064633699633697
Allahabad District,Negative,-0.02118125000000004
Aluva,Negative,-0.5859
Alwar,Negative,0.06129999999999999
Alwar District,Negative,-0.07440833333333334
Alwarthirunagiri,Negative,-0.9017
Amalapuram,Negative,-0.046099999999999974
Amaravathi,Positive,0.6249
Amaravati,Negative,-0.3009
Amarpatan,Positive,0.4404
Amarshi Kasba,Positive,0.23230000000000003
Ambad,Positive,0.6495
Ambah,Positive,0.44040000000000007
Ambala,Negative,-0.02959142857142852
Ambala Division,Positive,0.3612
Ambaliyasan,Positive,0.44040000000000007
Amballur Thrissur District,Negative,-0.9152
Ambarnath,Negative,-0.10954999999999998
Ambedkar Nagar,Negative,-0.2052
Ambedkar Nagar District,Negative,0.10834583333333332
Ambejogai,Positive,0.5076
Ambepur,Positive,0.6181
Ambur,Negative,0.09306249999999999
Amethi Sultanpur District,Negative,-0.8014
Amguri,Negative,-0.3818
Amila,Positive,0.44040000000000007
Amilo,Positive,0.44040000000000007
Amloh,Positive,0.4215
Ammainaickanur,Neutral,0.0
Amravati,Neutral,0.3081928571428571
Amravati District,Positive,0.4215
Amreli,Negative,-0.5849
Amreli District,Positive,0.4142166666666667
Amritsar,Negative,0.02829259259259261
Amritsar District,Positive,0.4404
Amroha,Neutral,0.0
Amta,Negative,-0.5256
Anand,Negative,-0.04209375000000004
Anand District,Positive,0.4194222222222222
Anandapur,Positive,0.3876
Anandpur Sahib,Positive,0.4404
Anantapur,Negative,0.04934117647058822
Anantapur District,Negative,-0.016359523809523806
Andal,Positive,0.4404
Angul,Positive,0.44040000000000007
Angul District,Negative,-0.5849
Anjangaon,Positive,0.4404
Anjar,Positive,0.48080000000000006
Anjuna,Positive,0.7778
Ankleshwar,Positive,0.446675
Annamalai Nagar,Positive,0.44040000000000007
Annur,Positive,0.49245
Anthiyur,Positive,0.4404
Antu,Positive,0.4215
Anugul,Positive,0.5227499999999999
Anugul District,Neutral,0.2893875
Anuppur,Positive,0.6369
Aonla,Positive,0.6369
Appakudal,Negative,-0.3412
Ara,Positive,0.7506
Arakonam,Neutral,0.2597357142857143
Arambag,Positive,0.4043
Arang,Positive,0.4215
Aranghata,Neutral,0.0
Arani Tiruvannamalai District,Negative,-0.6369
Aranthangi,Positive,0.8487
Araria,Negative,-0.008783333333333337
Araria District,Positive,0.79725
Arasur,Positive,0.5994
Areraj,Neutral,0.21075
Arimalam,Positive,0.4404
Ariyalur,Positive,0.4316
Ariyalur District,Neutral,0.0
Arookutty,Positive,0.7825
Arrah,Negative,0.144765
Aruppukkottai,Positive,0.5651
Arvi,Positive,0.6249
Arwal,Positive,0.55055
Arwal District,Positive,0.49269999999999997
