location,sentiment,overall_sentiment_score
Abdu Rahiman Nagar,Positive,0.6249
Abdul Lat,Neutral,0.0
Abohar,Positive,0.5707
Achabal,Negative,-0.4753
Achampet,Positive,0.5719
Achanta,Positive,0.47669999999999996
Adilabad,Positive,0.5859
Adilabad District,Positive,0.49269999999999997
Adoni,Negative,-0.019574999999999954
Adra,Negative,0.0743
Afzalgarh,Positive,0.50615
Agartala,Negative,-0.006258333333333328
Agra,Negative,-0.0343388888888889
Agra District,Negative,-0.016449999999999965
Agra Division,Positive,0.32595
Ahmadabad,Positive,0.6114
Ahmadabad District,Neutral,0.2852807692307692
Ahmadnagar,Negative,0.03270000000000001
Ahmadnagar District,Neutral,0.229275
Ahmadpur,Positive,0.39732
Ahmedabad,Negative,-0.017746212121212118
Ahmedgarh,Neutral,0.0
Aiho,Positive,0.598425
Aimanam,Positive,0.22630000000000003
Ajmer,Positive,0.62015
Ajmer District,Positive,0.6249
Akaya,Neutral,0.0
Akbarpur,Positive,0.6012000000000001
Akhnoor,Negative,0.25925
Akluj,Positive,0.57678
Akola,Neutral,0.3066642857142857
Akola District,Positive,0.6249
Akot,Positive,0.49269999999999997
Aland,Neutral,0.0
Alangudi,Positive,0.5719
Alappuzha,Neutral,0.256875
Alappuzha District,Neutral,0.1977875
Alathur,Neutral,0.21075
Aliganj,Positive,0.508475
Aligarh,Negative,0.022736666666666655
Aligarh District,Neutral,0.0
Alipurduar,Positive,0.40134444444444445
Alipurduar District,Positive,0.4889666666666666
Alipurduar Rly Jnc,Neutral,0.0
Allahabad,Negative,-0.008907692307692302
Allahabad District,Negative,0.04558095238095237
Aluva,Negative,-0.5256
Alwar,Negative,0.026099999999999995
Alwar District,Negative,0.031066666666666687
Alwarthirunagiri,Negative,-0.1511
Amalapuram,Negative,-0.048850000000000005
Amaravathi,Positive,0.44040000000000007
Amaravati,Negative,-0.01814999999999997
Amarpatan,Positive,0.6249
Amarshi Kasba,Neutral,0.0
Ambad,Positive,0.22630000000000003
Ambah,Positive,0.5508000000000001
Ambala,Neutral,0.1843125
Ambala Division,Positive,0.22630000000000003
Ambaliyasan,Positive,0.5719
Amballur Thrissur District,Negative,-0.6588
Ambarnath,Negative,-0.035324999999999995
Ambedkar Nagar,Neutral,0.22455
Ambedkar Nagar District,Neutral,0.23878823529411766
Ambejogai,Positive,0.4215
Ambepur,Positive,0.5243
Ambur,Negative,0.07346666666666671
Amethi Sultanpur District,Negative,-0.4767
Amguri,Positive,0.6239
Amila,Positive,0.22630000000000003
Amilo,Positive,0.46460000000000007
Amloh,Positive,0.4927
Ammainaickanur,Positive,0.7269
Amravati,Neutral,0.3132333333333333
Amravati District,Positive,0.48405
Amreli,Positive,0.3252
Amreli District,Neutral,0.26363333333333333
Amritsar,Negative,0.007741176470588251
Amritsar District,Positive,0.7269
Amroha,Neutral,0.0
Amta,Negative,-0.4215
Anand,Negative,0.028575000000000017
Anand District,Neutral,0.32295
Anandapur,Positive,0.44040000000000007
Anandpur Sahib,Positive,0.5719
Anantapur,Neutral,0.25571470588235296
Anantapur District,Positive,0.49029999999999996
Andal,Positive,0.4215
Angul,Neutral,0.0
Angul District,Negative,-0.6588
Anjangaon,Positive,0.6249
Anjar,Positive,0.5404666666666667
Anjuna,Neutral,0.0
Ankleshwar,Neutral,0.24634999999999999
Annamalai Nagar,Positive,0.22630000000000003
Annur,Positive,0.6237
Anthiyur,Positive,0.4404
Antu,Positive,0.5719
Anugul,Positive,0.5713
Anugul District,Neutral,0.291825
Anuppur,Positive,0.6249
Aonla,Positive,0.4767
Appakudal,Positive,0.4404
Ara,Positive,0.4404
Arakonam,Neutral,0.31245
Arambag,Neutral,0.3057
Arang,Neutral,0.0
Aranghata,Positive,0.636
Arani Tiruvannamalai District,Negative,-0.6588
Aranthangi,Positive,0.4404
Araria,Negative,0.029383333333333317
Araria District,Positive,0.6249
Arasur,Positive,0.5707
Areraj,Positive,0.5424625
Arimalam,Positive,0.2716
Ariyalur,Positive,0.61095
Ariyalur District,Neutral,0.0
Arookutty,Positive,0.6249
Arrah,Neutral,0.24363
Aruppukkottai,Positive,0.6499
Arvi,Positive,0.4404
Arwal,Positive,0.4256
Arwal District,Positive,0.22630000000000003
Asansol,Negative,-0.035003703703703724
Asansol Mc,Positive,0.2263
Asarganj,Positive,0.62075
Ashoknagar District,Positive,0.5719
Asifabad,Positive,0.5719
Athagad,Negative,-0.4334
Athiyannur,Positive,0.6239
Athmallik,Positive,0.44040000000000007
Atraulia,Positive,0.33335000000000004
Attingal,Neutral,0.0
Aurad,Positive,0.6114
Auraiya,Positive,0.6249
Auraiya District,Neutral,0.2613166666666667
Aurangabad,Negative,0.11572413793103448
Aurangabad District,Negative,0.050772549019607816
Aurangabad Division,Positive,0.5859
Ausa,Positive,0.6239
Avalpoondurai,Positive,0.6696
Avanashi,Positive,0.5719
Ayodhya,Neutral,0.0
Ayodhya Division,Neutral,0.31245
Azamgarh,Neutral,0.3041
Azamgarh District,Neutral,0.23901818181818182
Babrala,Positive,0.5859
Bachhraon,Positive,0.44040000000000007
Badamba,Positive,0.5707
Badarpur Rly Town,Positive,0.5719
Baddi,Negative,-0.07741666666666665
Badgam District,Positive,0.44040000000000007
Badlapur,Positive,0.3182
Badnagar,Positive,0.5719
Bagaha,Positive,0.6249
Bagalkot District,Neutral,0.0
Bagepalli,Positive,0.29136666666666666
Bageshwar District,Positive,0.6239
Baghmara,Positive,0.4404
Baghpat District,Positive,0.6114
Bagnan,Neutral,0.29295
Bagula,Positive,0.486525
Bah,Positive,0.4404
Bahadurgarh,Negative,-0.01979444444444443
Baharagora,Negative,-0.4215
Bahirgram,Neutral,0.0
Bahraich,Neutral,0.31110000000000004
Bahraich District,Positive,0.5719
Baidyabati,Negative,-0.46313999999999994
